"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(partialS(1,1,L1)) []","im(partialS(1,1,L1)) []","re(partialS(2,1,L1)) []","im(partialS(2,1,L1)) []","re(partialS(1,1,L2)) []","im(partialS(1,1,L2)) []","re(partialS(2,1,L2)) []","im(partialS(2,1,L2)) []","re(partialS(1,1,L3)) []","im(partialS(1,1,L3)) []","re(partialS(2,1,L3)) []","im(partialS(2,1,L3)) []","re(partialS(1,1,M01)) []","im(partialS(1,1,M01)) []","re(partialS(2,1,M01)) []","im(partialS(2,1,M01)) []","re(partialS(1,1,M12)) []","im(partialS(1,1,M12)) []","re(partialS(2,1,M12)) []","im(partialS(2,1,M12)) []","re(partialS(1,1,M23)) []","im(partialS(1,1,M23)) []","re(partialS(2,1,M23)) []","im(partialS(2,1,M23)) []","re(partialS(1,1,M34)) []","im(partialS(1,1,M34)) []","re(partialS(2,1,M34)) []","im(partialS(2,1,M34)) []"
5,-0.392820797291713,0.919615039684649,-8.74964313897478E-007,-3.71745396993575E-007,0.596591444107543,0.254838727744886,-3.21308278646812E-006,-7.14558452486764E-007,0.00564336341003164,0.0024106070662053,-1.2343120324485E-006,-5.47301991577633E-007,0.000519955126026964,0.00022210292015632,-1.37274515620188E-006,-6.11832980777178E-007,8.24132347450266,3.52034614297123,-2.28912518148111E-005,-4.79039099545713E-007,0.271463452944125,0.115957749061395,-1.58286399512694E-005,-6.41975469600837E-006,0.0022517432650847,0.000961849827819023,-1.65622578542152E-005,-7.03426269430718E-006,1.21051553629493E-005,5.17080260079557E-006,-8.65719941525651E-006,-3.67816393424524E-006
5.001,-0.391652814412656,0.920112774879831,-8.82815413142865E-007,-3.73756619646956E-007,0.598630399153602,0.254907053130524,-3.9140962562323E-006,-3.76241975662825E-007,0.00569696485985308,0.00242186194127547,-9.79193329823746E-007,-3.3352243981674E-007,0.000522300339353969,0.000221537080302746,-1.50844250742062E-006,-6.53673607129033E-007,8.25502691117343,3.51418457027773,-2.29412421794678E-005,-1.56359163761133E-007,0.272475836980471,0.115982431840755,-1.67032350832281E-005,-6.21470307410384E-006,0.00227620506598853,0.000970488153643109,-1.76221797493272E-005,-7.16734217968914E-006,1.25759651080584E-005,5.34790949773123E-006,-9.04659553112459E-006,-3.75635944692115E-006
5.002,-0.390483309429036,0.920609407633571,-8.9074183406785E-007,-3.7577653819908E-007,0.600676894046925,0.254972442819109,-4.61457274057258E-006,-3.64836129563938E-008,0.00575077023686556,0.00243307172806419,-7.23825761033308E-007,-1.20100326933303E-007,0.000524647389271961,0.000220966674025018,-1.64453667996685E-006,-6.95288139789962E-007,8.26875493565323,3.5079954899268,-2.29914673919882E-005,1.66378049184766E-007,0.273492455256344,0.116005981970412,-1.75787587860399E-005,-6.00810232489659E-006,0.00230076840477767,0.000979105128860405,-1.86835758396292E-005,-7.298902555254E-006,1.30477665942183E-005,5.5244331936294E-006,-9.43665963151203E-006,-3.83404962230175E-006
5.003,-0.38931228002496,0.921104934898151,-8.98744352834926E-007,-3.77805145621131E-007,0.602730958405202,0.255034873758444,-5.31450561280097E-006,3.04717647493209E-007,0.00580478088709883,0.00244423599055344,-4.6821325050432E-007,9.29604011384704E-008,0.000526996278223361,0.000220391688874338,-1.78103004380081E-006,-7.3667554840334E-007,8.28250760679881,3.50177877573574,-2.30419442431609E-005,4.891729295814E-007,0.274513327711447,0.116028388415607,-1.84552168951779E-005,-5.79994914213294E-006,0.00232543396282863,0.000987700531644637,-1.97464535632387E-005,-7.42893797702072E-006,1.35205673468668E-005,5.7003707967312E-006,-9.82739692762669E-006,-3.91123261769823E-006
5.004,-0.38813972387543,0.921599353612957,-9.0682375428677E-007,-3.79842433178231E-007,0.604792621978851,0.255094322729648,-6.0138882286115E-006,6.4736276917754E-007,0.00585899816752947,0.00245535428826642,-2.12359677469566E-007,3.05655852744916E-007,0.000529347008759535,0.000219812112387429,-1.9179250227085E-006,-7.77834761765527E-007,8.29628498359341,3.49553430083052,-2.30926897809732E-005,8.12025959671951E-007,0.27553847439374,0.116049640048446,-1.93326153639683E-005,-5.59024022302774E-006,0.0023502024271827,0.000996274137876052,-2.08108204790277E-005,-7.55744258834779E-006,1.39943749846076E-005,5.87571939530028E-006,-1.02188127007452E-005,-3.98790658370774E-006
5.005,-0.386965638646302,0.922092660704396,-9.14980831748886E-007,-3.81888391370608E-007,0.606861914651651,0.255150766345826,-6.71271394210713E-006,9.91452701206027E-007,0.00591342344614781,0.00246642617617539,4.37308589051993E-008,5.17982006329737E-007,0.000531699583542906,0.00021922793210169,-2.05522404816975E-006,-8.18764716192369E-007,8.31008712514644,3.48926193764133,-2.31437213067621E-005,1.13493770535728E-006,0.276567915460095,0.116069725647063,-2.0210960258497E-005,-5.37897227007955E-006,0.00237507449059744,0.00100482572111879,-2.1876684250908E-005,-7.68441051284502E-006,1.44691972215154E-005,6.05047605815056E-006,-1.06109123081629E-005,-4.0640696597334E-006
5.006,-0.385790021994244,0.922584853085818,-9.23216387498853E-007,-3.83943009189839E-007,0.608938866441414,0.255204181050795,-7.41097610380277E-006,1.33698835210513E-006,0.00596805810211738,0.00247745120468086,3.0005430620692E-007,7.29934891308635E-007,0.000534054005352035,0.000218639135560504,-2.19292963072237E-006,-8.59464361033081E-007,8.32391409069333,3.48296155789816,-2.31950563823117E-005,1.45790882812652E-006,0.277601671176975,0.116088633894816,-2.10902577706798E-005,-5.16614199074864E-006,0.00240005085159628,0.00101335505258536,-2.29440526651771E-005,-7.80983585675575E-006,1.49450418695425E-005,6.22463783791779E-006,-1.10037011791619E-005,-4.13971997984159E-006
5.007,-0.384612871566696,0.92307592765743,-9.31531232921235E-007,-3.86006275168652E-007,0.611023507500618,0.255254543117756,-8.10866806654882E-006,1.68397059799209E-006,0.00602290352580324,0.00248842891954761,5.56606495587515E-007,9.41510542878928E-007,0.000536410277088721,0.00021804571030259,-2.33104424495046E-006,-8.99932609297331E-007,8.3377659395952,3.47663303262638,-2.32467128296421E-005,1.78094007991488E-006,0.278639761921096,0.11610635337942,-2.19705142083003E-005,-4.95174609713278E-006,0.00242513221453268,0.00102186190112533,-2.401293362468E-005,-7.93371270828539E-006,1.54219168387305E-005,6.39820176461518E-006,-1.13971848225988E-005,-4.21485566621571E-006
5.008,-0.383434185001824,0.923565881306213,-9.39926187604561E-007,-3.88078176001842E-007,0.613115868117076,0.255301828647962,-8.80578317680077E-006,2.03240029653909E-006,0.00607796111894249,0.00249935886184634,8.1338323668102E-007,1.15270491121184E-006,0.000538768401767148,0.00021744764385664,-2.46957047223095E-006,-9.40168403460058E-007,8.35164273133866,3.47027623214215,-2.32987087393695E-005,2.10403230681443E-006,0.279682208180105,0.116122872592124,-2.28517360058838E-005,-4.73578130391333E-006,0.00245031928963941,0.00103034603318267,-2.50833351501968E-005,-8.0560351377636E-006,1.58998301391955E-005,6.5711648481555E-006,-1.17913688223056E-005,-4.28947483256027E-006
5.009,-0.382253959928482,0.924054710905845,-9.48402081400775E-007,-3.90158697384533E-007,0.615215978714594,0.255346013569388,-9.50231478014398E-006,2.38227825712347E-006,0.00613323229470248,0.00251024056789866,1.07038014936431E-006,1.36351392474854E-006,0.00054112838253698,0.00021684492376659,-2.6085108746537E-006,-9.80170677075008E-007,8.36554452553551,3.46389102604796,-2.3351062471752E-005,2.42718645280204E-006,0.280729030553257,0.116138179926859,-2.37339297219826E-005,-4.51824433476199E-006,0.002475612793087,0.00103880721277256,-2.61552653882723E-005,-8.17679719501011E-006,1.6378789883054E-005,6.74352408355252E-006,-1.21862588405065E-005,-4.36357558607807E-006
